,l1,l2,mean_exp,std_exp,mean_bound,std_bound,mean_v2_mean,mean_v2_std
31,116.2937348484993,17.1894653737545,0.6343781352043152,0.2648460268974304,100857.88544175425,101596.48490829051,5545.3834567474505,974.4299394375707
32,117.52275437116623,16.88101902604103,0.6516332030296326,0.2768397033214569,119444.74599794316,120031.03984589635,5063.866626980578,959.2315466043045
33,116.28330463171005,17.07319188117981,0.6524344086647034,0.2583364248275757,85069.10108624904,85795.1635069792,4408.495699288397,629.0609493712741
34,113.98840314149857,16.787387043237686,0.7317090630531311,0.2642836272716522,91533.56734271998,92554.41232011507,5687.053978326361,477.40798572229204
35,117.23788845539093,17.027262717485428,0.5786753296852112,0.2731325626373291,104076.08059016736,104942.10880215795,5398.830973382917,513.5438301852868
36,118.35794150829315,17.635123819112778,0.6326705813407898,0.269913911819458,116189.22789875975,116756.12328449759,7437.883602414258,1077.2467905142323
37,116.84636574983597,17.123181730508804,0.6507841944694519,0.267735093832016,100078.072878963,100456.5179374332,4958.000587594879,481.3951294799406
38,116.17606675624847,17.273015558719635,0.7403465509414673,0.2708607017993927,101350.05935960253,102048.4895483416,5711.157408954481,1024.357260049049
39,117.39829921722412,17.213513270020485,0.8351152539253235,0.3025304973125458,115108.94773350355,115882.24084189435,6593.579523173593,796.8222821983821
40,116.23671555519104,17.513260707259178,0.6960931420326233,0.279836505651474,118355.88033112467,119007.62903762121,7178.601845297019,1024.373169651103
41,115.81543529033661,16.727838665246964,0.7257919311523438,0.275250643491745,90761.63117873564,91178.41152293434,5816.863441640697,702.8150688302447
42,117.74181985855103,17.25951635837555,0.6923512816429138,0.2849811315536499,134044.3700944631,134605.09989461015,5853.713353280657,471.4900393161206
43,116.37961709499359,17.5421342253685,0.6158692240715027,0.2979929745197296,111326.92656891161,112434.67094869073,5665.052509115256,933.1197753880928
44,116.99110907316208,17.351713985204697,0.6319150328636169,0.2919192910194397,96111.37843932054,96466.65435087327,6427.795323151339,960.6457336564299
45,116.50032767653465,17.066474497318268,0.6508303880691528,0.27598661184310913,88996.38852957787,89682.46982095401,5916.495740708166,562.0592896083723
46,115.86539286375046,16.93738102912903,0.6570913791656494,0.2610852122306824,99975.87337758375,100350.91478227334,6060.313440658932,875.3094423606269
47,115.83926659822464,16.710285380482674,0.7516185641288757,0.32829105854034424,124797.77219476325,126021.67850371306,6357.222649524792,933.5440369657124
48,115.50799524784088,16.980383187532425,0.6658602952957153,0.28182390332221985,73117.83650799257,73775.72083509817,6678.363695794574,512.5959381801796
49,117.86623072624207,17.338717877864838,0.5758468508720398,0.2975417971611023,98093.60384523298,98545.20686123411,5309.378188754242,882.5420044808963
50,117.50899910926819,17.178020864725113,0.7997045516967773,0.2577267289161682,84598.04400793085,85766.68959694321,5611.571055308884,733.5223707252857
51,115.35286596417427,17.314350455999374,0.6857550740242004,0.2862756550312042,99332.84412827613,99945.95295827767,5727.48846948686,798.8260356287798
52,116.49531263113022,16.669750720262527,0.6669178009033203,0.3110329210758209,88952.1382671292,89852.17210359464,5829.770498172997,731.40044281816
53,115.1683220565319,16.641621381044388,0.6423973441123962,0.29282596707344055,108968.04615225608,109487.1911044362,5504.780230471429,868.550460171246
54,117.25539344549179,17.370908677577972,0.5809734463691711,0.28670942783355713,81730.50229156291,82226.75121422048,5271.193252359525,894.5451651426902
55,115.8847326040268,17.010713309049606,0.7322407960891724,0.2722439467906952,95983.59745293029,96394.01190549071,5427.827701325894,936.8947696571897
56,118.4308210015297,17.108033448457718,0.6700866222381592,0.2821102440357208,120329.15648696331,121016.42290657481,6589.936594791208,1112.5699439374107
57,116.13302499055862,17.13864427804947,0.7147504687309265,0.27074775099754333,105591.2747893043,106537.5390950751,6040.9695059468195,1015.1419571738469
58,118.13157826662064,17.419836670160294,0.68507981300354,0.26595038175582886,78338.71296515924,78908.46245494843,5302.938533360149,470.38915481281714
59,117.06121850013733,17.426288545131683,0.6001734137535095,0.26241612434387207,94857.87243695186,95230.97076086978,6390.242772977605,728.2269712245221
